date,time,open,high,low,close
2024-08-05,00:02,0.65054,0.65055,0.65054,0.65055
2024-08-05,00:03,0.65055,0.65061,0.65055,0.65061
2024-08-05,00:04,0.65057,0.65057,0.65056,0.65056
2024-08-05,00:05,0.6513,0.6513,0.65044,0.65069
2024-08-05,00:06,0.65079,0.65084,0.65044,0.65084
2024-08-05,00:07,0.65085,0.6511,0.65085,0.6511
2024-08-05,00:08,0.65117,0.65118,0.65085,0.651
2024-08-05,00:09,0.65078,0.65097,0.65076,0.65076
2024-08-05,00:10,0.65096,0.65096,0.65061,0.65095
2024-08-05,00:11,0.65062,0.65105,0.65062,0.65105
2024-08-05,00:12,0.65121,0.65124,0.65105,0.65122
2024-08-05,00:13,0.65134,0.65136,0.65134,0.65136
2024-08-05,00:14,0.65122,0.65125,0.65122,0.65123
2024-08-05,00:15,0.65122,0.65149,0.65122,0.65149
2024-08-05,00:16,0.65149,0.6515,0.65149,0.6515
2024-08-05,00:17,0.65128,0.6515,0.65128,0.65147
2024-08-05,00:18,0.65129,0.65147,0.6512,0.6512
2024-08-05,00:19,0.65135,0.65135,0.65135,0.65135
2024-08-05,00:20,0.6512,0.65128,0.6512,0.65128
2024-08-05,00:21,0.65128,0.65128,0.65118,0.65118
2024-08-05,00:22,0.65121,0.65149,0.65121,0.65149
2024-08-05,00:23,0.65149,0.65149,0.65149,0.65149
2024-08-05,00:24,0.65149,0.65149,0.65149,0.65149
2024-08-05,00:25,0.65149,0.65149,0.65149,0.65149
2024-08-05,00:26,0.65149,0.65149,0.65149,0.65149
2024-08-05,00:27,0.65149,0.65149,0.65149,0.65149
2024-08-05,00:28,0.65149,0.65149,0.65149,0.65149
2024-08-05,00:29,0.65149,0.65149,0.65142,0.65149
2024-08-05,00:30,0.65149,0.65149,0.65134,0.65143
2024-08-05,00:31,0.65143,0.65143,0.65116,0.65132
2024-08-05,00:32,0.65132,0.65133,0.65125,0.65128
2024-08-05,00:33,0.65131,0.65133,0.65124,0.65126
2024-08-05,00:34,0.65125,0.65132,0.65124,0.65124
2024-08-05,00:35,0.65124,0.65124,0.65082,0.65122
2024-08-05,00:36,0.65123,0.65123,0.65123,0.65123
2024-08-05,00:37,0.65123,0.65124,0.65123,0.65124
2024-08-05,00:38,0.65124,0.65124,0.65123,0.65124
2024-08-05,00:39,0.65124,0.65124,0.65124,0.65124
2024-08-05,00:40,0.65124,0.65124,0.65124,0.65124
2024-08-05,00:41,0.65124,0.65124,0.65124,0.65124
2024-08-05,00:42,0.65124,0.65125,0.65124,0.65125
2024-08-05,00:43,0.65125,0.65125,0.65124,0.65124
2024-08-05,00:44,0.65124,0.65124,0.65124,0.65124
2024-08-05,00:45,0.65116,0.65136,0.65116,0.65136
2024-08-05,00:46,0.65136,0.65136,0.65134,0.65134
2024-08-05,00:47,0.65134,0.65134,0.65134,0.65134
2024-08-05,00:48,0.65134,0.65134,0.65134,0.65134
2024-08-05,00:49,0.65134,0.65134,0.65134,0.65134
2024-08-05,00:50,0.6512,0.65134,0.6512,0.65134
2024-08-05,00:51,0.65134,0.65134,0.65134,0.65134
2024-08-05,00:52,0.65134,0.65134,0.65134,0.65134
2024-08-05,00:53,0.65134,0.65134,0.65134,0.65134
2024-08-05,00:54,0.65134,0.65134,0.65134,0.65134
2024-08-05,00:55,0.65134,0.65185,0.65129,0.65171
2024-08-05,00:56,0.6517,0.65171,0.65146,0.65149
2024-08-05,00:57,0.65147,0.65149,0.65143,0.65146
2024-08-05,00:58,0.65147,0.65148,0.65147,0.65147
2024-08-05,00:59,0.65147,0.65154,0.65147,0.6515
2024-08-05,01:00,0.65152,0.65154,0.65085,0.65103
2024-08-05,01:01,0.65102,0.65102,0.65021,0.65044
2024-08-05,01:02,0.65044,0.65056,0.65018,0.65045
2024-08-05,01:03,0.65044,0.65072,0.65013,0.65048
2024-08-05,01:04,0.65048,0.65056,0.65034,0.65052
2024-08-05,01:05,0.65052,0.6506,0.65042,0.65042
2024-08-05,01:06,0.65042,0.65042,0.65015,0.65015
2024-08-05,01:07,0.65016,0.6503,0.65016,0.6503
2024-08-05,01:08,0.6503,0.65031,0.65026,0.65027
2024-08-05,01:09,0.65026,0.65026,0.65021,0.65022
2024-08-05,01:10,0.65022,0.65033,0.65021,0.65032
2024-08-05,01:11,0.65032,0.65033,0.65031,0.65033
2024-08-05,01:12,0.65033,0.65043,0.65032,0.65043
2024-08-05,01:13,0.65042,0.65066,0.65042,0.65055
2024-08-05,01:14,0.65055,0.65063,0.65055,0.65061
2024-08-05,01:15,0.65061,0.65097,0.65056,0.65095
2024-08-05,01:16,0.65095,0.65095,0.65054,0.65069
2024-08-05,01:17,0.65068,0.65073,0.65061,0.65063
2024-08-05,01:18,0.65063,0.65064,0.65048,0.65055
2024-08-05,01:19,0.65058,0.65064,0.65053,0.65061
2024-08-05,01:20,0.6506,0.65066,0.65059,0.65061
2024-08-05,01:21,0.65061,0.65067,0.6505,0.65066
2024-08-05,01:22,0.65066,0.65077,0.6506,0.65061
2024-08-05,01:23,0.65062,0.65062,0.65044,0.65046
2024-08-05,01:24,0.65046,0.65051,0.65046,0.65049
2024-08-05,01:25,0.65049,0.65051,0.65035,0.65036
2024-08-05,01:26,0.6504,0.65044,0.65039,0.65044
2024-08-05,01:27,0.65041,0.65052,0.6504,0.65044
2024-08-05,01:28,0.65043,0.65053,0.65041,0.65053
2024-08-05,01:29,0.65053,0.65059,0.65051,0.65057
2024-08-05,01:30,0.65057,0.6507,0.65052,0.65055
2024-08-05,01:31,0.65052,0.65055,0.65041,0.65048
2024-08-05,01:32,0.65049,0.65062,0.65044,0.65059
2024-08-05,01:33,0.65059,0.65076,0.65052,0.65076
2024-08-05,01:34,0.65076,0.65076,0.65059,0.65067
2024-08-05,01:35,0.65066,0.6507,0.65058,0.65058
2024-08-05,01:36,0.65057,0.65071,0.65057,0.65063
2024-08-05,01:37,0.65062,0.65063,0.65052,0.65052
2024-08-05,01:38,0.65051,0.65056,0.65042,0.65047
2024-08-05,01:39,0.65047,0.65047,0.65042,0.65042
2024-08-05,01:40,0.65042,0.65051,0.65042,0.65047
2024-08-05,01:41,0.65049,0.65056,0.65046,0.65056
2024-08-05,01:42,0.65056,0.65071,0.65054,0.65067
2024-08-05,01:43,0.65067,0.65067,0.6506,0.65065
2024-08-05,01:44,0.65065,0.65068,0.6506,0.65064
2024-08-05,01:45,0.65064,0.65066,0.65057,0.65064
2024-08-05,01:46,0.65065,0.65066,0.65048,0.65058
2024-08-05,01:47,0.6506,0.65081,0.6506,0.65078
2024-08-05,01:48,0.65078,0.65083,0.65075,0.6508
2024-08-05,01:49,0.65081,0.65089,0.65081,0.65086
2024-08-05,01:50,0.65086,0.65086,0.65082,0.65085
2024-08-05,01:51,0.65086,0.65086,0.65059,0.65059
2024-08-05,01:52,0.65059,0.65061,0.65054,0.6506
2024-08-05,01:53,0.6506,0.65067,0.6506,0.65066
2024-08-05,01:54,0.65066,0.65069,0.65061,0.65061
2024-08-05,01:55,0.65061,0.65078,0.65061,0.65076
2024-08-05,01:56,0.65073,0.65075,0.65061,0.65061
2024-08-05,01:57,0.65062,0.65071,0.65061,0.65066
2024-08-05,01:58,0.65064,0.65072,0.65062,0.6507
2024-08-05,01:59,0.65071,0.651,0.65071,0.65096
2024-08-05,02:00,0.65091,0.65099,0.6509,0.65093
2024-08-05,02:01,0.65093,0.65095,0.65078,0.65086
2024-08-05,02:02,0.65086,0.65089,0.65076,0.65081
2024-08-05,02:03,0.65081,0.65084,0.65078,0.65079
2024-08-05,02:04,0.65079,0.65102,0.65078,0.65095
2024-08-05,02:05,0.65096,0.65105,0.65093,0.65096
2024-08-05,02:06,0.65095,0.65105,0.65093,0.65094
2024-08-05,02:07,0.65098,0.65114,0.65095,0.6511
2024-08-05,02:08,0.6511,0.6511,0.65088,0.65091
2024-08-05,02:09,0.6509,0.6509,0.65071,0.65076
2024-08-05,02:10,0.65078,0.65091,0.65076,0.65091
2024-08-05,02:11,0.65091,0.65103,0.6509,0.651
2024-08-05,02:12,0.65101,0.65101,0.65093,0.651
2024-08-05,02:13,0.65101,0.65104,0.65092,0.65099
2024-08-05,02:14,0.65099,0.65106,0.65095,0.65104
2024-08-05,02:15,0.65104,0.65106,0.65091,0.65101
2024-08-05,02:16,0.65101,0.65106,0.65099,0.65103
2024-08-05,02:17,0.65105,0.65112,0.65101,0.6511
2024-08-05,02:18,0.65111,0.65121,0.65108,0.65117
2024-08-05,02:19,0.65118,0.65132,0.65118,0.65127
2024-08-05,02:20,0.65125,0.65128,0.65112,0.65112
2024-08-05,02:21,0.65111,0.65121,0.65109,0.65116
2024-08-05,02:22,0.65117,0.65121,0.6511,0.6511
2024-08-05,02:23,0.6511,0.65111,0.65097,0.65101
2024-08-05,02:24,0.651,0.65101,0.65067,0.65086
2024-08-05,02:25,0.65086,0.65089,0.65076,0.65081
2024-08-05,02:26,0.65081,0.65089,0.65079,0.65083
2024-08-05,02:27,0.65082,0.65091,0.65077,0.65085
2024-08-05,02:28,0.65084,0.65087,0.65071,0.65073
2024-08-05,02:29,0.65073,0.65073,0.65056,0.65065
2024-08-05,02:30,0.65064,0.65072,0.65062,0.65066
2024-08-05,02:31,0.65059,0.65061,0.65043,0.65061
2024-08-05,02:32,0.6506,0.65061,0.65027,0.65035
2024-08-05,02:33,0.65037,0.65047,0.65037,0.65039
2024-08-05,02:34,0.6504,0.65046,0.6502,0.65021
2024-08-05,02:35,0.65021,0.65025,0.65007,0.65012
2024-08-05,02:36,0.65009,0.65023,0.65009,0.65013
2024-08-05,02:37,0.65016,0.65023,0.65014,0.65015
2024-08-05,02:38,0.65017,0.65028,0.65016,0.65027
2024-08-05,02:39,0.65028,0.65031,0.65019,0.65031
2024-08-05,02:40,0.65031,0.65036,0.65015,0.65015
2024-08-05,02:41,0.65015,0.65017,0.65011,0.65016
