date,time,open,high,low,close
2024-07-15,00:01,172.054,172.063,172.054,172.06
2024-07-15,00:02,172.043,172.043,171.954,172.039
2024-07-15,00:03,172.069,172.069,172.052,172.064
2024-07-15,00:04,172.064,172.064,172.044,172.044
2024-07-15,00:05,172.045,172.066,172.004,172.044
2024-07-15,00:06,172.044,172.044,172.044,172.044
2024-07-15,00:07,172.044,172.072,172.044,172.067
2024-07-15,00:08,172.067,172.093,172.067,172.085
2024-07-15,00:09,172.085,172.093,172.084,172.084
2024-07-15,00:10,172.084,172.11,172.084,172.11
2024-07-15,00:11,172.093,172.11,172.093,172.102
2024-07-15,00:12,172.09,172.108,172.09,172.101
2024-07-15,00:13,172.119,172.135,172.119,172.135
2024-07-15,00:14,172.135,172.175,172.128,172.172
2024-07-15,00:15,172.174,172.223,172.173,172.216
2024-07-15,00:16,172.222,172.231,172.216,172.216
2024-07-15,00:17,172.216,172.216,172.216,172.216
2024-07-15,00:18,172.227,172.228,172.215,172.215
2024-07-15,00:19,172.215,172.238,172.215,172.238
2024-07-15,00:20,172.238,172.253,172.228,172.233
2024-07-15,00:21,172.233,172.243,172.233,172.24
2024-07-15,00:22,172.24,172.25,172.24,172.25
2024-07-15,00:23,172.243,172.243,172.243,172.243
2024-07-15,00:24,172.261,172.263,172.243,172.254
2024-07-15,00:25,172.271,172.271,172.244,172.247
2024-07-15,00:26,172.246,172.262,172.237,172.262
2024-07-15,00:27,172.237,172.248,172.237,172.248
2024-07-15,00:28,172.248,172.262,172.237,172.241
2024-07-15,00:29,172.264,172.264,172.241,172.255
2024-07-15,00:30,172.266,172.268,172.243,172.259
2024-07-15,00:31,172.29,172.298,172.29,172.298
2024-07-15,00:32,172.308,172.308,172.257,172.257
2024-07-15,00:33,172.257,172.308,172.222,172.224
2024-07-15,00:34,172.222,172.231,172.222,172.229
2024-07-15,00:35,172.229,172.23,172.223,172.223
2024-07-15,00:36,172.223,172.227,172.212,172.224
2024-07-15,00:37,172.221,172.221,172.21,172.21
2024-07-15,00:38,172.21,172.211,172.2,172.206
2024-07-15,00:39,172.205,172.206,172.199,172.201
2024-07-15,00:40,172.204,172.204,172.199,172.199
2024-07-15,00:41,172.203,172.21,172.202,172.21
