date,time,open,high,low,close
2024-04-29,09:31,157.203,157.23,157.182,157.192
2024-04-29,09:32,157.218,157.228,157.148,157.169
2024-04-29,09:33,157.169,157.18,157.075,157.075
2024-04-29,09:34,157.077,157.089,156.806,156.824
2024-04-29,09:35,156.824,156.942,156.821,156.921
2024-04-29,09:36,156.922,156.993,156.866,156.96
2024-04-29,09:37,156.96,157.009,156.939,156.962
2024-04-29,09:38,156.962,157.037,156.932,156.944
2024-04-29,09:39,156.944,157.04,156.944,157.01
2024-04-29,09:40,157.012,157.022,156.978,157.02
2024-04-29,09:41,157.02,157.059,157.01,157.038
2024-04-29,09:42,157.056,157.061,157.005,157.058
2024-04-29,09:43,157.056,157.073,156.991,156.991
2024-04-29,09:44,156.992,157.07,156.968,157.069
2024-04-29,09:45,157.059,157.131,157.057,157.107
2024-04-29,09:46,157.105,157.125,157.054,157.093
2024-04-29,09:47,157.093,157.093,157.036,157.075
2024-04-29,09:48,157.075,157.125,157.066,157.104
2024-04-29,09:49,157.1,157.106,157.052,157.071
2024-04-29,09:50,157.074,157.112,157.071,157.107
2024-04-29,09:51,157.109,157.109,157.089,157.095
2024-04-29,09:52,157.094,157.108,157.045,157.048
2024-04-29,09:53,157.05,157.093,157.05,157.082
2024-04-29,09:54,157.082,157.084,157.049,157.061
2024-04-29,09:55,157.059,157.09,157.048,157.057
2024-04-29,09:56,157.057,157.059,157.004,157.004
2024-04-29,09:57,157.013,157.045,157.011,157.043
2024-04-29,09:58,157.042,157.091,157.038,157.072
2024-04-29,09:59,157.071,157.082,157.032,157.033
2024-04-29,10:00,157.025,157.05,157.003,157.034
2024-04-29,10:01,157.026,157.064,157.003,157.064
2024-04-29,10:02,157.072,157.136,157.056,157.131
2024-04-29,10:03,157.13,157.146,157.112,157.135
2024-04-29,10:04,157.135,157.162,157.134,157.152
2024-04-29,10:05,157.151,157.184,157.137,157.14
2024-04-29,10:06,157.14,157.143,157.106,157.121
2024-04-29,10:07,157.122,157.126,156.942,157.024
2024-04-29,10:08,157.024,157.036,156.144,156.214
2024-04-29,10:09,156.23,156.572,156.056,156.353
2024-04-29,10:10,156.367,156.367,155.741,155.81
2024-04-29,10:11,155.836,155.882,155.627,155.741
2024-04-29,10:12,155.757,155.837,155.298,155.327
2024-04-29,10:13,155.355,155.576,155.295,155.424
2024-04-29,10:14,155.42,155.621,155.306,155.494
2024-04-29,10:15,155.497,155.506,155.344,155.494
2024-04-29,10:16,155.493,155.845,155.493,155.775
2024-04-29,10:17,155.772,155.797,155.418,155.594
2024-04-29,10:18,155.596,155.78,155.5,155.574
2024-04-29,10:19,155.577,155.619,155.408,155.529
2024-04-29,10:20,155.535,155.535,155.311,155.374
2024-04-29,10:21,155.375,155.637,155.351,155.506
2024-04-29,10:22,155.495,155.59,155.349,155.41
2024-04-29,10:23,155.42,155.499,155.361,155.484
2024-04-29,10:24,155.503,155.503,155.255,155.343
2024-04-29,10:25,155.309,155.348,155.211,155.248
2024-04-29,10:26,155.251,155.336,155.231,155.254
2024-04-29,10:27,155.266,155.452,155.199,155.413
2024-04-29,10:28,155.444,155.472,155.294,155.39
2024-04-29,10:29,155.397,155.4,155.193,155.193
2024-04-29,10:30,155.192,155.226,155.079,155.086
2024-04-29,10:31,155.086,155.249,155.035,155.132
2024-04-29,10:32,155.134,155.145,155.031,155.11
2024-04-29,10:33,155.111,155.156,154.985,154.985
2024-04-29,10:34,154.944,155.081,154.659,154.799
2024-04-29,10:35,154.763,154.802,154.53,154.535
2024-04-29,10:36,154.557,154.799,154.531,154.783
2024-04-29,10:37,154.773,154.986,154.773,154.858
2024-04-29,10:38,154.851,155.027,154.824,154.894
2024-04-29,10:39,154.895,154.925,154.764,154.796
2024-04-29,10:40,154.806,155.065,154.755,154.936
2024-04-29,10:41,154.933,155.276,154.903,155.102
2024-04-29,10:42,155.1,155.1,154.934,154.988
2024-04-29,10:43,155.001,155.221,154.978,155.22
2024-04-29,10:44,155.221,155.333,155.151,155.303
2024-04-29,10:45,155.303,155.439,155.287,155.383
2024-04-29,10:46,155.391,155.408,155.296,155.329
2024-04-29,10:47,155.34,155.34,155.234,155.245
2024-04-29,10:48,155.245,155.298,155.15,155.271
2024-04-29,10:49,155.27,155.444,155.259,155.392
2024-04-29,10:50,155.392,155.463,155.34,155.38
2024-04-29,10:51,155.38,155.486,155.379,155.486
2024-04-29,10:52,155.486,155.638,155.486,155.63
2024-04-29,10:53,155.632,155.632,155.41,155.501
2024-04-29,10:54,155.481,155.564,155.42,155.552
2024-04-29,10:55,155.571,155.67,155.509,155.629
2024-04-29,10:56,155.632,155.675,155.616,155.639
2024-04-29,10:57,155.639,155.645,155.52,155.583
2024-04-29,10:58,155.583,155.651,155.558,155.594
2024-04-29,10:59,155.59,155.593,155.545,155.565
2024-04-29,11:00,155.566,155.665,155.55,155.625
2024-04-29,11:01,155.615,155.615,155.41,155.583
2024-04-29,11:02,155.582,155.687,155.582,155.675
2024-04-29,11:03,155.675,155.675,155.549,155.56
2024-04-29,11:04,155.561,155.561,155.424,155.511
2024-04-29,11:05,155.512,155.669,155.503,155.611
2024-04-29,11:06,155.611,155.658,155.578,155.591
2024-04-29,11:07,155.591,155.692,155.584,155.676
2024-04-29,11:08,155.676,155.68,155.642,155.645
2024-04-29,11:09,155.634,155.67,155.626,155.648
2024-04-29,11:10,155.649,155.658,155.522,155.53
2024-04-29,11:11,155.534,155.633,155.514,155.621
2024-04-29,11:12,155.621,155.69,155.619,155.664
2024-04-29,11:13,155.671,155.776,155.65,155.689
2024-04-29,11:14,155.689,155.819,155.688,155.785
2024-04-29,11:15,155.783,155.84,155.759,155.816
2024-04-29,11:16,155.816,155.832,155.788,155.794
2024-04-29,11:17,155.802,155.825,155.795,155.816
2024-04-29,11:18,155.82,155.889,155.82,155.844
2024-04-29,11:19,155.843,155.874,155.773,155.797
2024-04-29,11:20,155.798,155.835,155.797,155.81
2024-04-29,11:21,155.809,155.809,155.755,155.764
2024-04-29,11:22,155.766,155.827,155.764,155.825
2024-04-29,11:23,155.825,155.844,155.8,155.838
2024-04-29,11:24,155.838,155.936,155.838,155.901
2024-04-29,11:25,155.883,155.913,155.844,155.852
2024-04-29,11:26,155.852,155.903,155.846,155.888
2024-04-29,11:27,155.906,155.922,155.857,155.861
2024-04-29,11:28,155.861,155.923,155.847,155.918
2024-04-29,11:29,155.918,155.92,155.884,155.886
2024-04-29,11:30,155.881,155.92,155.808,155.883
2024-04-29,11:31,155.883,155.925,155.882,155.898
2024-04-29,11:32,155.898,155.898,155.067,155.191
2024-04-29,11:33,155.194,155.462,155.194,155.392
2024-04-29,11:34,155.393,155.61,155.375,155.574
2024-04-29,11:35,155.561,155.743,155.561,155.726
2024-04-29,11:36,155.737,155.821,155.663,155.787
2024-04-29,11:37,155.787,155.808,155.651,155.731
2024-04-29,11:38,155.731,155.772,155.678,155.772
2024-04-29,11:39,155.76,155.826,155.743,155.787
2024-04-29,11:40,155.792,155.805,155.749,155.749
2024-04-29,11:41,155.737,155.8,155.736,155.8
